user_country,user_latitude,user_longitude
China,36.1409925,114.9861305
China,22.53088681,114.0369073
China,22.35780012,113.4432856
South Korea,35.16183777,129.0704234
China,27.66753094,106.9476702
China,37.11152874,79.90247329
South Korea,37.26132899,126.9534126
China,40.944412,111.6665279
China,23.01190876,113.8162808
China,31.24633439,121.3579749
China,39.12682495,121.7169065
China,22.54173765,113.2445463
South Korea,37.40659843,126.9342543
China,30.55713725,114.3479026
China,41.79609718,123.2140057
China,27.76766809,120.7143013
China,30.20293996,115.0002174
China,31.58321907,120.34779
Japan,35.79334211,139.7956404
China,39.96862089,116.4311921
China,19.99916538,110.2355627
China,36.05410331,103.8100391
China,34.29598129,108.9387434
China,36.10561434,114.2747122
China,22.3010958,113.5728472
China,26.1092501,119.3366418
Japan,35.66582034,139.8566763
South Korea,37.48580708,126.9723604
China,23.10311177,113.8108794
South Korea,37.74410637,127.0206941
South Korea,37.60459431,126.9147506
South Korea,36.81436993,127.1819902
China,34.53695562,113.3902891
China,30.6027994,114.2750619
South Korea,37.45447776,126.6871287
China,30.52238437,120.7022642
China,23.10227066,114.3618689
China,29.12145169,110.4714884
China,41.60086048,120.4582119
Japan,34.71747405,135.5415647
China,27.84235716,113.1989462
China,24.72585274,118.6089736
China,31.84006754,117.314634
China,36.21247091,117.6850741
China,44.30032464,86.04653426
China,34.26565117,117.1382402
China,23.13346954,113.1751255
China,22.9893043,113.8703661
China,31.208771,121.5597381
China,41.23205472,123.219074
China,43.89413177,125.3525877
China,29.86184775,121.5707238
China,37.47497688,118.4630368
China,39.14839486,117.0314216
China,41.84497261,123.3655379
Japan,35.52951348,139.549645
China,22.53819474,113.9186023
China,36.63256766,101.7485888
China,22.36423764,110.9487687
Japan,35.57551411,139.6397076
China,22.82630683,113.7857542
China,39.95385262,119.6228724
China,31.10174682,121.4227589
China,34.25067414,117.1147094
China,36.43095653,114.2271275
China,32.01459148,118.7314585
China,32.48824075,119.9393522
China,24.50950001,118.1005596
China,38.50757759,106.3157678
China,28.66288731,115.8799944
